cand_id,cand_name,spe_id,spe_nam,ele_type,can_office_state,can_office_dis,can_office,cand_pty_aff,exp_amo,exp_date,agg_amo,sup_opp,pur,pay,file_num,amndt_ind,tran_id,image_num,receipt_dat,fec_election_yr,prev_file_num,dissem_dt
H4CO08034,"Evans, Gabe",C00866517, Go America PAC,G,CO,8,H,REPUBLICAN PARTY,9000,,9000,S,texts supporting Gabe Evans CO-8,TTHM.com,1845617,N,E2D2833410CAA40CB9A5,202410319719900778,31-OCT-24,2024,,30-OCT-24
P80000722,"Harris, Kamal D",C00877886,1000 Women Strong PAC,G,,0,P,DEMOCRATIC PARTY,50000,27-SEP-24,57000,S,Advertising Services,Northwind Strategies,1820306,N,SE.4111,202410049684791551,04-OCT-24,2024,,02-OCT-24
P80000722,"Harris, Kamal D",C00877886,1000 Women Strong PAC,G,,0,P,DEMOCRATIC PARTY,15000,30-SEP-24,72000,S,Estimated costs of consultant work,1000 Women Strong PAC,1820306,N,SE.4109,202410049684791550,04-OCT-24,2024,,02-OCT-24
P80000722,"Harris, Kamal D",C00877886,1000 Women Strong PAC,G,,0,P,DEMOCRATIC PARTY,7000,27-SEP-24,7000,S,Production Costs for Ads,Corsair Communications,1820306,N,SE.4110,202410049684791550,04-OCT-24,2024,,02-OCT-24
S4MD00327,"Alsobrooks, Angela",C90022559,1199 SEIU New York State Political Action Fund,G,MD,0,S,DEMOCRATIC PARTY,15102.5,02-NOV-24,16667.58,S,Event Coordination (Estimate),DT Event Consulting,1847462,N,508110469,202411039719921574,03-NOV-24,2024,,
S4MD00327,"Alsobrooks, Angela",C90022559,1199 SEIU New York State Political Action Fund,G,MD,0,S,DEMOCRATIC PARTY,864.15,29-OCT-24,1539.08,S,Direct Mail Production and Distribution (Estimate),Pendulum Creative Group,1845172,N,510110468,202410309719846853,30-OCT-24,2024,,
S6PA00217,"Casey, Bob",C90022559,1199 SEIU New York State Political Action Fund,G,PA,0,S,DEMOCRATIC PARTY,893.12,29-OCT-24,1785.87,S,Direct Mail Production and Distribution (Estimate),Pendulum Creative Group,1845172,N,590110460,202410309719846856,30-OCT-24,2024,,
H2NY04277,"D'Esposito, Anthony",C90022559,1199 SEIU New York State Political Action Fund,G,NY,4,H,REPUBLICAN PARTY,5318.43,28-OCT-24,25743.01,O,Direct Mail Production and Distribution (Estimate),Pendulum Creative Group,1844560,N,550110469,202410299719840494,29-OCT-24,2024,,
H4NY18117,"Esposito, Alison",C90022559,1199 SEIU New York State Political Action Fund,G,NY,18,H,REPUBLICAN PARTY,485.69,28-OCT-24,1353.51,O,Direct Mail Production and Distribution (Estimate),Pendulum Creative Group,1844560,N,508110469,202410299719840498,29-OCT-24,2024,,
H4NY04158,"Gillen, Laura",C90022559,1199 SEIU New York State Political Action Fund,G,NY,4,H,DEMOCRATIC PARTY,5318.43,28-OCT-24,25743.01,S,Direct Mail Production and Distribution (Estimate),Pendulum Creative Group,1844560,N,540110469,202410299719840494,29-OCT-24,2024,,
H4NY04158,"Gillen, Laura",C90022559,1199 SEIU New York State Political Action Fund,G,NY,4,H,DEMOCRATIC PARTY,3120.07,29-OCT-24,28863.08,S,Direct Mail Production and Distribution (Estimate),Pendulum Creative Group,1845172,N,570110462,202410309719846855,30-OCT-24,2024,,
H4NY04158,"Gillen, Laura",C90022559,1199 SEIU New York State Political Action Fund,G,NY,4,H,DEMOCRATIC PARTY,600,02-NOV-24,29618.08,S,DJ for Sound Truck (Estimate),White Entertainment Inc.,1847462,N,508150469,202411039719921575,03-NOV-24,2024,,
H4NY04158,"Gillen, Laura",C90022559,1199 SEIU New York State Political Action Fund,G,NY,4,H,DEMOCRATIC PARTY,7500,18-OCT-24,9141.83,S,Phone Banking (Estimate),NYIC Political Action Fund,1832743,N,520100469,202410199699230784,19-OCT-24,2024,,
H4NY04158,"Gillen, Laura",C90022559,1199 SEIU New York State Political Action Fund,G,NY,4,H,DEMOCRATIC PARTY,75,26-OCT-24,15106.15,S,Car Magnet Production and Distribution (Estimate),1199 SEIU United Healthcare Workers East,1843611,N,508120469,202410279719661628,27-OCT-24,2024,,
H4NY04158,"Gillen, Laura",C90022559,1199 SEIU New York State Political Action Fund,G,NY,4,H,DEMOCRATIC PARTY,600,26-OCT-24,15106.15,S,DJ for Sound Truck (Estimate),"Renonce, Randy",1843611,N,508160469,202410279719661629,27-OCT-24,2024,,
H4NY04158,"Gillen, Laura",C90022559,1199 SEIU New York State Political Action Fund,G,NY,4,H,DEMOCRATIC PARTY,5289.32,26-OCT-24,15106.15,S,Sound Truck Services (Estimate),Zambrana Productions Inc.,1843611,N,508190469,202410279719661630,27-OCT-24,2024,,
P00009423,"Harris, Kamala",C90022559,1199 SEIU New York State Political Action Fund,G,,0,P,DEMOCRATIC PARTY,600,02-NOV-24,253718.8,S,DJ for Sound Truck (Estimate),White Entertainment Inc.,1847462,N,508170469,202411039719921575,03-NOV-24,2024,,
P00009423,"Harris, Kamala",C90022559,1199 SEIU New York State Political Action Fund,G,,0,P,DEMOCRATIC PARTY,900,02-NOV-24,253718.8,S,DJ for Sound Truck (Estimate),"Renonce, Randy",1847462,N,508140469,202411039719921574,03-NOV-24,2024,,
P00009423,"Harris, Kamala",C90022559,1199 SEIU New York State Political Action Fund,G,,0,P,DEMOCRATIC PARTY,3771.65,02-NOV-24,253718.8,S,T-Shirt Production (Estimate),N.G. Slater,1847462,N,508130469,202411039719921574,03-NOV-24,2024,,
P00009423,"Harris, Kamala",C90022559,1199 SEIU New York State Political Action Fund,G,,0,P,DEMOCRATIC PARTY,750,24-OCT-24,174350.84,S,Radio Ad Distribution (Estimate),Beval Marketing Group,1842887,N,500103469,202410259719658888,25-OCT-24,2024,,
P00009423,"Harris, Kamala",C90022559,1199 SEIU New York State Political Action Fund,G,,0,P,DEMOCRATIC PARTY,750,24-OCT-24,174350.84,S,Radio Ad Distribution (Estimate),Haiti Dabord,1842887,N,500107469,202410259719658890,25-OCT-24,2024,,
